algo,n,dist,trial,time_ms,comparisons,array_accesses,assignments,allocations
kadane,10000,random,1,0.689833,29997,10001,10695,0
kadane,10000,random,2,0.624458,29997,10001,10719,0
kadane,10000,random,3,0.592083,29997,10001,10558,0
kadane,10000,random,1,0.716417,29997,10001,10695,0
kadane,10000,random,2,0.557,29997,10001,10719,0
kadane,10000,random,3,0.556084,29997,10001,10558,0
kadane,10000,random,1,0.801416,29997,10001,10695,0
kadane,10000,random,2,0.564416,29997,10001,10719,0
kadane,10000,random,3,0.558291,29997,10001,10558,0
